FECHA,Calle,Carrera,Movimiento,Acceso,Salida,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,06:00:00,7.0,57.0,7.0,6.0,0.0,0.0,5.0,27.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,06:15:02,1.0,70.0,9.0,3.0,0.0,1.0,5.0,68.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,06:30:01,0.0,24.0,3.0,1.0,0.0,0.0,0.0,25.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,06:45:00,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,06:59:59,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,07:15:00,35.0,74.0,4.0,4.0,0.0,0.0,0.0,12.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,07:29:59,71.0,69.0,12.0,9.0,0.0,3.0,0.0,63.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,07:44:59,31.0,93.0,6.0,21.0,0.0,0.0,1.0,132.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,07:59:58,2.0,91.0,9.0,18.0,0.0,2.0,1.0,128.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,08:14:57,2.0,77.0,16.0,9.0,1.0,2.0,1.0,131.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,08:29:58,1.0,90.0,13.0,12.0,0.0,3.0,0.0,103.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,08:44:57,5.0,85.0,13.0,10.0,1.0,0.0,1.0,94.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,08:59:56,3.0,76.0,9.0,14.0,0.0,2.0,3.0,64.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,09:14:55,3.0,86.0,7.0,5.0,0.0,1.0,2.0,66.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,09:29:55,4.0,76.0,11.0,13.0,0.0,0.0,2.0,54.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,09:44:56,0.0,70.0,9.0,11.0,0.0,2.0,2.0,51.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,09:59:55,1.0,75.0,9.0,10.0,0.0,0.0,2.0,34.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,10:14:54,1.0,71.0,20.0,12.0,0.0,2.0,2.0,36.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,10:29:53,1.0,84.0,5.0,17.0,0.0,1.0,5.0,37.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,10:44:54,5.0,60.0,9.0,8.0,0.0,1.0,2.0,27.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,10:59:53,3.0,59.0,6.0,12.0,0.0,2.0,4.0,19.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,11:14:52,1.0,68.0,14.0,12.0,0.0,3.0,4.0,30.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,11:29:52,2.0,76.0,11.0,9.0,0.0,0.0,2.0,22.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,11:44:51,1.0,80.0,6.0,12.0,0.0,3.0,4.0,29.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Norte,Sur,11:59:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,06:15:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,06:30:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,06:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,06:59:59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,07:15:00,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,07:29:59,17.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,07:44:59,8.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,07:59:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,08:14:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,08:29:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,08:44:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,08:59:56,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,09:14:55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,09:29:55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,09:44:56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,09:59:55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,10:14:54,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,10:29:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,10:44:54,1.0,0.0,0.0,4.0,0.0,0.0,0.0,22.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,10:59:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,11:14:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,11:29:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,11:44:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,
30082018,100,11,Ciclistas_cicloruta,Sur,Norte,11:59:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,06:00:00,9.0,124.0,21.0,17.0,1.0,0.0,8.0,32.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,06:15:02,6.0,145.0,24.0,26.0,1.0,2.0,13.0,72.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,06:30:01,2.0,104.0,24.0,9.0,1.0,0.0,2.0,27.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,06:45:00,3.0,96.0,14.0,2.0,0.0,0.0,1.0,7.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,06:59:59,4.0,129.0,12.0,12.0,0.0,0.0,0.0,14.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,07:15:00,15.0,205.0,26.0,63.0,0.0,2.0,1.0,27.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,07:29:59,14.0,195.0,38.0,85.0,0.0,3.0,2.0,82.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,07:44:59,11.0,191.0,39.0,68.0,0.0,5.0,4.0,162.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,07:59:58,6.0,212.0,40.0,78.0,0.0,2.0,5.0,145.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,08:14:57,13.0,163.0,40.0,64.0,1.0,2.0,1.0,131.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,08:29:58,13.0,194.0,48.0,65.0,0.0,3.0,7.0,91.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,08:44:57,13.0,193.0,41.0,50.0,2.0,1.0,1.0,92.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,08:59:56,9.0,175.0,32.0,53.0,0.0,6.0,4.0,77.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,09:14:55,8.0,184.0,31.0,43.0,0.0,4.0,1.0,73.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,09:29:55,10.0,179.0,28.0,48.0,0.0,1.0,4.0,54.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,09:44:56,1.0,187.0,37.0,43.0,1.0,2.0,6.0,52.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,09:59:55,9.0,187.0,50.0,39.0,0.0,4.0,6.0,39.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,10:14:54,6.0,168.0,42.0,41.0,0.0,3.0,2.0,34.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,10:29:53,10.0,178.0,39.0,43.0,1.0,5.0,7.0,33.0,1.0,
30082018,100,11,Ciclistas_via,Norte,Sur,10:44:54,7.0,151.0,34.0,33.0,3.0,2.0,5.0,35.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,10:59:53,4.0,152.0,33.0,45.0,0.0,4.0,7.0,26.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,11:14:52,3.0,145.0,43.0,41.0,1.0,5.0,8.0,29.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,11:29:52,9.0,146.0,41.0,36.0,1.0,7.0,3.0,23.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,11:44:51,9.0,172.0,26.0,44.0,0.0,4.0,6.0,25.0,0.0,
30082018,100,11,Ciclistas_via,Norte,Sur,11:59:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,06:00:00,7.0,69.0,9.0,22.0,0.0,2.0,5.0,23.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,06:15:02,4.0,76.0,13.0,32.0,3.0,2.0,2.0,15.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,06:30:01,0.0,35.0,4.0,8.0,1.0,1.0,2.0,7.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,06:45:00,9.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,06:59:59,9.0,72.0,0.0,48.0,0.0,1.0,0.0,1.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,07:15:00,14.0,130.0,2.0,64.0,1.0,0.0,1.0,12.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,07:29:59,16.0,128.0,15.0,68.0,6.0,4.0,5.0,19.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,07:44:59,9.0,109.0,21.0,72.0,2.0,0.0,3.0,28.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,07:59:58,1.0,121.0,40.0,61.0,7.0,1.0,6.0,15.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,08:14:57,3.0,119.0,41.0,42.0,0.0,0.0,7.0,25.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,08:29:58,5.0,136.0,25.0,48.0,0.0,2.0,7.0,16.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,08:44:57,3.0,133.0,24.0,34.0,2.0,2.0,7.0,13.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,08:59:56,3.0,149.0,38.0,42.0,0.0,2.0,7.0,16.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,09:14:55,8.0,128.0,38.0,41.0,1.0,3.0,2.0,16.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,09:29:55,12.0,137.0,30.0,39.0,0.0,0.0,12.0,18.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,09:44:56,3.0,135.0,31.0,26.0,0.0,4.0,2.0,22.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,09:59:55,8.0,170.0,38.0,36.0,0.0,3.0,3.0,11.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,10:14:54,6.0,96.0,23.0,33.0,1.0,0.0,0.0,25.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,10:29:53,2.0,160.0,30.0,39.0,0.0,0.0,4.0,21.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,10:44:54,5.0,118.0,19.0,39.0,0.0,4.0,6.0,22.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,10:59:53,5.0,158.0,24.0,41.0,0.0,5.0,6.0,20.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,11:14:52,4.0,145.0,24.0,32.0,0.0,2.0,7.0,22.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,11:29:52,8.0,139.0,25.0,41.0,0.0,4.0,5.0,27.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,11:44:51,6.0,151.0,23.0,30.0,1.0,1.0,6.0,30.0,0.0,
30082018,100,11,Ciclistas_via,Sur,Norte,11:59:52,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
